Region,Regional Champ,Regional Final,Regional Semifinals,Second Round,First Round
West,West 5,West 4-1,West 3-1,West 2-1,West 1
West,West 5,West 4-1,West 3-1,West 2-1,West 2
West,West 5,West 4-1,West 3-1,West 2-2,West 3
West,West 5,West 4-1,West 3-1,West 2-2,West 4
West,West 5,West 4-1,West 3-2,West 2-3,West 5
West,West 5,West 4-1,West 3-2,West 2-3,West 6
West,West 5,West 4-1,West 3-2,West 2-4,West 7
West,West 5,West 4-1,West 3-2,West 2-4,West 8
West,West 5,West 4-2,West 3-3,West 2-5,West 9
West,West 5,West 4-2,West 3-3,West 2-5,West 10
West,West 5,West 4-2,West 3-3,West 2-6,West 11
West,West 5,West 4-2,West 3-3,West 2-6,West 12
West,West 5,West 4-2,West 3-4,West 2-7,West 13
West,West 5,West 4-2,West 3-4,West 2-7,West 14
West,West 5,West 4-2,West 3-4,West 2-8,West 15
West,West 5,West 4-2,West 3-4,West 2-8,West 16
East,East 5,East 4-1,East 3-1,East 2-1,East 1
East,East 5,East 4-1,East 3-1,East 2-1,East 2
East,East 5,East 4-1,East 3-1,East 2-2,East 3
East,East 5,East 4-1,East 3-1,East 2-2,East 4
East,East 5,East 4-1,East 3-2,East 2-3,East 5
East,East 5,East 4-1,East 3-2,East 2-3,East 6
East,East 5,East 4-1,East 3-2,East 2-4,East 7
East,East 5,East 4-1,East 3-2,East 2-4,East 8
East,East 5,East 4-2,East 3-3,East 2-5,East 9
East,East 5,East 4-2,East 3-3,East 2-5,East 10
East,East 5,East 4-2,East 3-3,East 2-6,East 11
East,East 5,East 4-2,East 3-3,East 2-6,East 12
East,East 5,East 4-2,East 3-4,East 2-7,East 13
East,East 5,East 4-2,East 3-4,East 2-7,East 14
East,East 5,East 4-2,East 3-4,East 2-8,East 15
East,East 5,East 4-2,East 3-4,East 2-8,East 16
South,South 5,South 4-1,South 3-1,South 2-1,South 1
South,South 5,South 4-1,South 3-1,South 2-1,South 2
South,South 5,South 4-1,South 3-1,South 2-2,South 3
South,South 5,South 4-1,South 3-1,South 2-2,South 4
South,South 5,South 4-1,South 3-2,South 2-3,South 5
South,South 5,South 4-1,South 3-2,South 2-3,South 6
South,South 5,South 4-1,South 3-2,South 2-4,South 7
South,South 5,South 4-1,South 3-2,South 2-4,South 8
South,South 5,South 4-2,South 3-3-,South 2-5,South 9
South,South 5,South 4-2,South 3-3-,South 2-5,South 10
South,South 5,South 4-2,South 3-3-,South 2-6,South 11
South,South 5,South 4-2,South 3-3-,South 2-6,South 12
South,South 5,South 4-2,South 3-4,South 2-7,South 13
South,South 5,South 4-2,South 3-4,South 2-7,South 14
South,South 5,South 4-2,South 3-4,South 2-8,South 15
South,South 5,South 4-2,South 3-4,South 2-8,South 16
Midwest,Midwest 5,Midwest 4-1,Midwest 3-1,Midwest 2-1,Midwest 1
Midwest,Midwest 5,Midwest 4-1,Midwest 3-1,Midwest 2-1,Midwest 2
Midwest,Midwest 5,Midwest 4-1,Midwest 3-1,Midwest 2-2,Midwest 3
Midwest,Midwest 5,Midwest 4-1,Midwest 3-1,Midwest 2-2,Midwest 4
Midwest,Midwest 5,Midwest 4-1,Midwest 3-2,Midwest 2-3,Midwest 5
Midwest,Midwest 5,Midwest 4-1,Midwest 3-2,Midwest 2-3,Midwest 6
Midwest,Midwest 5,Midwest 4-1,Midwest 3-2,Midwest 2-4,Midwest 7
Midwest,Midwest 5,Midwest 4-1,Midwest 3-2,Midwest 2-4,Midwest 8
Midwest,Midwest 5,Midwest 4-1,Midwest 3-3,Midwest 2-5,Midwest 9
Midwest,Midwest 5,Midwest 4-1,Midwest 3-3,Midwest 2-5,Midwest 10
Midwest,Midwest 5,Midwest 4-1,Midwest 3-3,Midwest 2-6,Midwest 11
Midwest,Midwest 5,Midwest 4-1,Midwest 3-3,Midwest 2-6,Midwest 12
Midwest,Midwest 5,Midwest 4-1,Midwest 3-4,Midwest 2-7,Midwest 13
Midwest,Midwest 5,Midwest 4-1,Midwest 3-4,Midwest 2-7,Midwest 14
Midwest,Midwest 5,Midwest 4-1,Midwest 3-4,Midwest 2-8,Midwest 15
Midwest,Midwest 5,Midwest 4-1,Midwest 3-4,Midwest 2-8,Midwest 16
